;year;nr;name;land;str_cl;cars_r1;cars_r2;trucks_r1;trucks_r2
0;2016;2218;AD HH-Südost (O);HH;A;;;;
1;2016;2217;AD HH-Südost (W);HH;A;;;;
2;2016;2223;AK HH-Süd Fbez. S<->O;HH;A;;;;
3;2016;5675;AK Leverkusen (O);NW;A;;;;
4;2016;5035;AK Leverkusen (W);NW;A;;;;
5;2016;353;AS Eppelborn;SL;A;11342;11242;1228;1209
6;2016;5121;Ascheberg;NW;A;33987;33429;4886;5007
7;2016;1101;Bad Oldesloe;SH;A;;;;
8;2016;1108;Bad Schwartau;SH;A;35411;36376;3024;2978
9;2016;1102;Barsbüttel;SH;A;45740;44910;5437;5454
10;2016;173;Bierfeld;SL;A;12832;12731;1933;1864
11;2016;3302;Bockel;NI;A;34171;34275;6561;6618
12;2016;3444;Dibbersen;NI;A;29642;28070;4487;4349
13;2016;5060;Euskirchen/Bliesheim;NW;A;25340;25046;2776;2671
14;2016;3351;Glüsingen;NI;A;53244;53382;7288;7297
15;2016;3455;Groß Ippener;NI;A;28426;27022;6401;6162
16;2016;181;Göttelborn;SL;A;8086;8351;338;419
17;2016;2411;HB-Mahndorfer See;HB;A;53139;52800;9795;9604
18;2016;2410;HB-Silbersee;HB;A;49428;49897;8750;8927
19;2016;2401;HB-Weserbrücke;HB;A;60252;60049;9660;9512
20;2016;5124;Hagen-Vorhalle;NW;A;50961;50262;7388;7022
21;2016;177;Hasborn;SL;A;10112;10149;1183;1190
22;2016;5101;Hengsen;NW;A;56765;56441;9236;9105
23;2016;7164;Hetzerath;RP;A;17720;18165;2385;2309
24;2016;3309;Holdorf;NI;A;;;;
25;2016;182;Holz;SL;A;7970;8232;338;410
26;2016;5010;Hürth;NW;A;26832;26917;3073;2923
27;2016;180;Illingen;SL;A;16001;16223;1334;1324
28;2016;175;Kastel;SL;A;8457;8701;1135;1117
29;2016;185;Kirschheck;SL;A;10183;10141;304;345
30;2016;5032;Köln-Lövenich;NW;A;;;;
31;2016;5048;Köln-Nord;NW;A;48968;50557;2167;2123
32;2016;5118;Ladbergen;NW;A;31582;31689;5710;5737
33;2016;7603;Laufeld;RP;A;12170;12009;1935;1792
34;2016;5143;Lotte;NW;A;38125;37688;7467;7343
35;2016;5047;Nettersheim;NW;A;10462;10232;1994;1932
36;2016;1105;Neustadt i. H.-Süd;SH;A;13881;13594;1316;1287
37;2016;172;Nonnweiler;SL;A;12708;12590;1892;1823
38;2016;1124;Oldenburg (Holstein);SH;A;10388;10222;1124;1058
39;2016;174;Otzenhausen;SL;A;10024;10058;1301;1264
40;2016;1291;Reinfeld;SH;A;;;;
41;2016;183;Riegelsberg;SL;A;9094;9271;394;490
42;2016;823;Saarbrücken-Neuhaus;SL;A;5682;5861;245;302
43;2016;5011;Schloss Burg;NW;A;41438;39593;4169;3530
44;2016;5144;Unna;NW;A;61426;60223;8818;8534
45;2016;3456;Uphusen;NI;A;50638;51709;8819;8998
46;2016;304;Von der Heydt;SL;A;10176;10153;321;377
47;2016;3837;Alleringersleben;ST;A;37026;37078;10203;10153
48;2016;5123;Bad Oeynhausen;NW;A;47106;47795;10572;10164
49;2016;3421;Beienrode;NI;A;;;;
50;2016;5120;Bielefeld;NW;A;45201;45585;8901;8895
51;2016;3836;Bornstedt/Irxleben;ST;A;37579;36059;10235;9118
52;2016;3429;Braunschweig-Flughafen;NI;A;;;;
53;2016;3491;Dedensen;NI;A;;;;
54;2016;5122;Gelsenkirchen;NW;A;44204;46040;8930;8132
55;2016;5147;Gelsenkirchen-Erle;NW;A;43989;45552;6207;6573
56;2016;3492;Groß-Munzel;NI;A;44014;45177;9416;9705
57;2016;3490;Gümmer;NI;A;;;;
58;2016;3439;Hannover-Bothfeld;NI;A;;;;
59;2016;3433;Hannover-Ost;NI;A;;;;
60;2016;3494;Hattendorf;NI;A;40529;40557;9488;9633
61;2016;3835;Hohenwarthe;ST;A;31952;33649;7033;7359
62;2016;3489;Immensen;NI;A;45554;44367;9949;9508
63;2016;3305;Lauenau;NI;A;41508;41210;9537;9610
64;2016;3601;Lehnin;BB;A;28391;29071;7175;7383
65;2016;3486;Meerdorf;NI;A;42388;41657;9610;9162
66;2016;5026;Oberhausen-Sterkrade;NW;A;61889;62183;10004;10370
67;2016;5102;Oelde;NW;A;35413;34806;6752;6662
68;2016;3306;Peine;NI;A;42746;41486;9665;9640
69;2016;3487;Peine-Ost;NI;A;37970;37568;8811;8594
70;2016;5126;Recklinghausen-Ost;NW;A;41875;43649;6168;6523
71;2016;3495;Rehren;NI;A;38537;38644;9361;9539
72;2016;3496;Rinteln;NI;A;36645;36712;9204;9195
73;2016;3485;Schwülper;NI;A;43433;42762;9765;9548
74;2016;3810;Theeßen;ST;A;24169;25153;6346;6695
75;2016;5125;Waltrop-Brambauer;NW;A;44706;45667;7752;7899
76;2016;3484;Watenbüttel;NI;A;43173;42706;9561;9384
77;2016;7778;AD Dernbach VQ Süd;RP;A;48808;49948;7970;8085
78;2016;5672;AD Heumar (N);NW;A;;;;
79;2016;5673;AD Heumar (S);NW;A;47132;51338;5282;5650
80;2016;6854;AD Mönchhof (O);HE;A;66838;71492;7979;9445
81;2016;6853;AD Mönchhof (W);HE;A;59699;60633;7882;8192
82;2016;9033;AD Seligenstadt (O);BY;A;51206;43474;8113;7341
83;2016;9011;AD Würzburg-West (O);BY;A;41627;42914;8829;8735
84;2016;9034;AD Würzburg-West (W);BY;A;31283;31619;6540;6924
85;2016;9046;AK Altdorf (S);BY;A;26066;25855;5604;5220
86;2016;5058;AK BN-Siegburg (N);NW;A;39938;41448;5301;5914
87;2016;5631;AK BN-Siegburg (S);NW;A;41313;40921;5765;6198
88;2016;9038;AK Biebelried (O);BY;A;31954;33235;6367;6867
89;2016;9036;AK Biebelried (W);BY;A;35910;36345;7591;7832
90;2016;5638;AK Breitscheid (N);NW;A;55824;59430;5369;5785
91;2016;5065;AK Breitscheid (S);NW;A;47329;50951;5000;5540
92;2016;9093;AK Deggendorf (W);BY;A;19013;20071;4525;4913
93;2016;9050;AK Fürth/Erlangen (O);BY;A;49215;47040;8161;8103
94;2016;9951;AK Fürth/Erlangen (W);BY;A;45859;44230;;
95;2016;5655;AK Hilden (N);NW;A;61342;62177;5705;6004
96;2016;5657;AK Hilden (S);NW;A;58876;58338;5342;5398
97;2016;5003;AK Leverkusen (N);NW;A;;;;
98;2016;5676;AK Leverkusen (S);NW;A;80767;71896;9966;9177
99;2016;9040;AK Nürnberg (O);BY;A;22076;23070;4826;4643
100;2016;9039;AK Nürnberg (W);BY;A;54533;51009;9593;9163
101;2016;5025;AK OB-West (Hauptfahrb.);NW;A;50328;64483;7335;8731
102;2016;5665;AK OB-West (N);NW;A;68320;72832;9962;11161
103;2016;5667;AK OB-West (S);NW;A;68312;72165;9505;9457
